,Ping (ms),Download (Mbit/s),Upload (Mbit/s),Date,Time
0,b'3.787',b'217.92',b'276.08',2021-04-24,23:24:53
1,b'7.752',b'143.16',b'283.43',2021-04-24,23:25:10
2,b'10.07',b'858.17',b'295.38',2021-04-24,23:25:27
3,b'7.897',b'906.13',b'295.34',2021-04-24,23:25:37
4,b'3.376',b'764.77',b'295.37',2021-04-24,23:25:47
5,b'8.005',b'828.67',b'295.31',2021-04-24,23:25:57
6,b'7.906',b'863.90',b'295.38',2021-04-24,23:26:07
7,b'8.571',b'152.11',b'252.56',2021-04-24,23:26:17
8,b'7.933',b'228.07',b'256.60',2021-04-24,23:26:35
9,b'6.501',b'841.48',b'255.62',2021-04-24,23:26:52
10,b'14.531',b'233.69',b'287.70',2021-04-24,23:27:02
11,b'7.101',b'768.68',b'295.19',2021-04-24,23:27:19
12,b'7.467',b'892.47',b'295.24',2021-04-24,23:27:30
13,b'9.228',b'175.71',b'245.06',2021-04-24,23:27:40
14,b'4.394',b'186.16',b'235.60',2021-04-24,23:27:57
15,b'7.165',b'284.23',b'274.26',2021-04-24,23:28:15
16,b'10.838',b'845.04',b'269.06',2021-04-24,23:28:31
17,b'9.7',b'222.61',b'215.02',2021-04-24,23:28:42
18,b'6.347',b'158.07',b'274.16',2021-04-24,23:29:00
19,b'11.036',b'183.31',b'273.41',2021-04-24,23:29:18
20,b'6.311',b'150.41',b'291.58',2021-04-24,23:29:35
21,b'9.509',b'859.80',b'295.43',2021-04-24,23:29:51
22,,,,,
23,,,,,
24,b'7.667',b'120.98',b'282.94',2021-04-24,23:30:13
25,b'8.092',b'820.31',b'295.40',2021-04-24,23:30:29
26,b'14.471',b'870.88',b'275.30',2021-04-24,23:30:39
27,b'9.797',b'160.01',b'266.08',2021-04-24,23:30:50
28,b'9.135',b'156.43',b'267.32',2021-04-24,23:31:07
29,b'4.057',b'851.35',b'282.09',2021-04-24,23:31:24
30,b'13.042',b'772.94',b'279.88',2021-04-24,23:31:34
31,b'9.571',b'870.91',b'295.36',2021-04-24,23:31:45
32,b'4.471',b'134.49',b'279.01',2021-04-24,23:31:55
33,b'9.25',b'178.66',b'274.86',2021-04-24,23:32:11
34,b'8.021',b'134.32',b'244.40',2021-04-24,23:32:28
35,b'8.602',b'209.05',b'228.75',2021-04-24,23:32:45
36,b'6.956',b'847.38',b'295.31',2021-04-24,23:33:03
37,b'9.302',b'751.47',b'284.07',2021-04-24,23:33:13
38,b'8.925',b'210.15',b'260.55',2021-04-24,23:33:24
39,b'14.42',b'149.30',b'273.10',2021-04-24,23:33:40
40,b'4.189',b'839.02',b'287.60',2021-04-24,23:33:57
41,b'8.705',b'130.35',b'273.40',2021-04-24,23:34:08
42,b'10.571',b'186.51',b'267.52',2021-04-24,23:34:25
43,b'8.251',b'152.51',b'231.17',2021-04-24,23:34:42
44,b'8.11',b'167.75',b'283.85',2021-04-24,23:34:59
45,b'12.137',b'201.20',b'222.44',2021-04-24,23:35:16
46,b'13.617',b'221.68',b'219.86',2021-04-24,23:35:34
47,b'9.118',b'907.74',b'295.42',2021-04-24,23:35:52
